OBJECTID,FACILITYID,INTID,CREATIONDATE,CREATOR,PROJECTNAME,PROJECTOBJECTID,PROJECTTYPE,ADDRESS,PROJECTSTATUS,LASTUPDATE,NOTES,SHAPE_Length,SHAPE_Area,PARCELSNUM,FILENUM,PROJECTNOTES,CONTACTNAME,CONTACTEMAIL,DEVELOPERNAME,RSNNUMBER,MERGENO,CONTACT,BUILDINGHEIGHT
687,188,188,2021/11/16 09:45:53+00,OED,Arbor,71,Office,255 West Julian St,Planning Approved,2023/05/18 08:45:09+00,,684.734390833858,30083.4993802956,44512,SP21-037,"Construction of a 14-story, 512,031 sf commercial building",Laura Meiners,Laura.Meiners@sanjoseca.gov,Westbank,1893458,49,Other,208
688,189,189,2021/11/16 09:45:53+00,OED,19 North 2nd St,93,Mixed Use,19 North 2nd St,Planning Review,2023/05/18 08:45:09+00,,411.674535790331,9370.81842521192,61608,SP21-044,"Demolition of the exiting building and construction of 37,240 sf of commercial space and 210 residential units",Laura Meiners,Laura.Meiners@sanjoseca.gov,Roygbiv Real Estate Development,1894810,25,Other,220
689,190,190,2021/11/16 09:45:53+00,OED,"The Orchard Residential (""Bo Town"")",92,Mixed Use,409 S 2nd St,Planning Approved,2023/05/18 08:45:09+00,,816.320984095742,32576.9328915394,"63410, 63411, 63412",H20-038,"Construction of a 29-story buidling with 520 residential units and 7,645 square feet of commercial",Angela Wang,angela.wang@sanjoseca.gov,Westbank,1893841,30,Other,290
690,191,191,2021/11/16 09:45:53+00,OED,3806 Stevens Creek Boulevard,94,Office,3806 Stevens Creek Boulevard,Planning Approved,2023/05/18 08:45:09+00,,2023.09963669142,236583.869844103,,CP19-031,"Conditional Use Permit to allow the demolition of existing commercial buildings and construction of an approximately 270,000 sf office building, 150,000 sf athletic facility, and 15,000sf of ground floor retail on a 6.30 acres site",Alec Atienza,alec.atienza@sanjoseca.gov,Cypress Equities,,55,Other,
691,192,192,2021/11/16 09:45:53+00,OED,"The Orchard Office (""Valley Title"")",95,Office,345 S 2nd St,Planning Approved,2023/05/18 08:45:09+00,,1652.32785822746,123932.093623991,"1000002078,63377,63376",H21-012,Site Development Permit to allow demolition of one existing building and construct a 20 story building with 1.39 million square feet of commercial office with ground floor retail space,,,Westbank,,32,Angela Wang,301
692,193,193,2021/11/16 09:45:53+00,OED,West San Carlos Mixed Use,33,Mixed Use,1530 West San Carlos,Planning Approved,2023/05/31 22:07:22+00,,420.440728388842,10947.8196011627,"160342, 160341",SP20-004,"Special Use permit to allow one 7 story mixed use apartment building and one 5 story affordable housing building, with a total of 202 residential units and 15,582 square feet of commercial space.",,,Urban Villas LLC,1811823,15,Stefanie Farmer (Stefanie.Farmer@sanjoseca.gov),
693,194,194,2021/11/16 09:45:53+00,OED,Block 8,96,Office,282 S Market St,Planning Approved,2023/05/18 08:45:09+00,,1045.42827888141,65780.4968000713,1003685,H19-033,Construction of a 18 story office building with 482026 sf of office and 12771 sf ground floor commercial space,,,The Sobrato Organization,,54,Stefanie,277
694,195,195,2021/11/16 09:45:53+00,OED,905 North Capitol,97,Housing,"905 N Capitol Ave, San Jose, CA, 95133, USA",Pre-Construction Review,2023/05/18 08:45:09+00,,1360.31207594995,92971.3078656928,1000001201,H21-015,"Site Development Permit to construct a 7-story, 350-unit apartment building and a 3 story , 32-unit townhome building",,,Hanover Company,,71,Other,
695,196,196,2021/11/16 09:45:53+00,OED,Montgomery Plaza II,101,Mixed Use,"543 Lorraine Ave, San Jose, CA, 95110, USA",Planning Approved,2023/05/18 08:45:09+00,,394.585525310766,9813.87681445043,"44969, 44970",H21-028,"Site Development Permit to allow the demolition of an existing single-family residence for the construction of a 29-story mixed-use building with 2,460 square feet of retail space and 264 residential units",,,ROYGBIV,1922268,33,James Han,
696,197,197,2021/11/16 09:45:53+00,OED,Montgomery Plaza I,100,Housing,"565 Lorraine Ave, San Jose, CA, 95110, USA",Planning Approved,2023/05/18 08:45:09+00,,375.31851283601,8581.70379628027,"44971, 44968",H21-027,Site Development Permit to allow a 21-story residential development with 126 residential units,,,ROYGBIV,1922001,34,James Han,
697,198,198,2021/11/16 09:45:53+00,OED,420 South 3rd,99,Mixed Use,"420 S 3rd St, San Jose, CA, 95112, USA",Planning Review,2023/05/18 08:45:09+00,,590.482627983071,21577.2230962801,63430,SP21-020,"Special Use Permit to allow the demolition of an existing apartment building for the construction of a 20-story mixed-use building consisting of 152 units and approximately 3,000-square feet of retail space",Alec Atienza,Alec.Atienza@sanjoseca.gov,Urban Community,1920904,14,Other,262
698,199,199,2021/11/16 09:45:53+00,OED,420 South 2nd,98,Mixed Use,"420 S 2nd St, San Jose, CA, 95113, USA",Planning Approved,2023/05/18 08:45:09+00,,827.630880741235,37854.3697103102,"63419,63421,63383,63420",SP21-019,"Special Use Permit to allow two mixed-use towers consisting of up to 254 residential units and approximately 8,000 square feet of ground floor commercial space",Alec Atienza,Alec.Atienza@sanjoseca.gov,Urban Community,1921559,35,Other,262
699,200,200,2021/11/16 09:45:53+00,OED,Energy Hub (Westbank Historic District),91,Mixed Use,35 South 2nd Street,Planning Approved,2023/05/18 08:45:09+00,,1068.30678761536,54375.3532560313,61639,H20-037,"Construction of a 21-story building with 194 residential units and 405,000 square feet of office space with 31,959 sf ground floor retail space",Angela Wang,Angela.Wang@sanjoseca.gov,Westbank,1893786,31,Other,289
700,201,201,2021/11/16 09:45:53+00,OED,Arya/ Balbach Housing,3,Affordable Housing,500 Almaden Boulevard,Under Construction,2023/05/18 08:45:09+00,,516.452746604448,16521.4712953221,1000002328,H18-057,Construction of an eight-story building with 87 residential units,,,Satellite Affordable Housing Associates,1794701,96,Stefanie Farmer (Stefanie.Farmer@sanjoseca.gov),87
704,704,704,2021/12/22 09:45:53+00,OED,Apollo Mixed Use,908,Housing,32 Stockton,Planning Review,2023/05/18 08:45:09+00,,912.832987028086,44586.6569484728,"44411,44412",H21-048,"Construct an 18-story building 497 residential units and 8,500 sf of retail space",James Han,James.Han@sanjoseca.gov,Urban Catalyst,1942642,11,Other,200
705,705,705,2021/12/22 09:45:53+00,OED,Vila De Camila,1309,Housing,1325 East Julian,Planning Review,2023/05/18 08:45:09+00,,2061.17085355363,132921.001496493,347521,H22-012,Planned Development Zoning to allow the construction of four buildings ranging 8 to 16 stories with 756 residential units,,,ROYGBIV,1928140,13,Charla Gomez (Charla.Gomez@sanjoseca.gov),
706,706,706,2021/12/22 09:45:53+00,OED,Echo/Icon,910,Mixed Use,147 East Santa Clara St,Planning Approved,2023/05/18 08:45:09+00,,1414.30480511357,62423.8523686531,"61533, 61553","SP21-031, HP21-007","Special Use Permit to construct a mixed use project with 415 residential units, 525,000 sf of office, and 8,500 sq of retail space.",Alec Atienza,Alec.Atienza@sanjoseca.gov,Urban Catalyst,1928709,36,Other,282
707,707,707,2021/12/22 09:45:53+00,OED,950 W Julian,909,Affordable Housing,950 West Julian,Planning Review,2023/05/18 08:45:09+00,,711.841390194059,30288.7161302149,45303,H21-044,Construction of an 8-story affordable housing building with 300 residential units,Alec Atienza,Alec.Atienza@sanjoseca.gov,JEMCOR Development Partners,1940576,38,Other,
708,708,708,2021/12/22 09:45:53+00,OED,681 E Trimble/Seely (Tsukuda Fruit Stand),1308,Mixed Use,681 East Trimble,Planning Review,2023/05/18 08:45:09+00,,2907.66455495412,497179.392703633,6202883,PDC21-035,"Planned Development Zoning to allow the construction of up to five buildings with a total of 1,480 residential units and 54,000 sf of ground floor commercial",Alec Atienza,Alec.Atienza@sanjoseca.gov,Hannover Company,1938955,12,Other,
709,709,709,2021/12/22 09:45:53+00,OED,802 S 1st St,1310,Housing,802 South 1st St,Planning Approved,2023/05/18 08:45:09+00,,384.392217374748,8599.26189411552,64874,PD21-011,"Planned Development Permit to allow the construction of an affordable housing building with 246 residential units and 1,506 sf of retail",,,Maracor Development,1928436,37,Rina Shah (Rina.Shah@sanjoseca.gov),
714,714,714,2023/05/31 17:30:41+00,OED,Charities Housing/Vista Montana,912,Affordable Housing,771 Vista Montana Street,Planning Review,2023/05/31 17:30:41+00,,1726.51266016448,181061.306186999,09752027,MP23-001,"SB 35 Ministerial Permit for two 7-story buildings of 100% affordable housing consisting of 446 rental units including two managers’ units with a 2-level parking garage consisting of 330 parking spaces, including 1.783 sq. ft. of Library and 5,071 sq. ft. of Childcare facility.",,,Charities Housing,,911,Other,
715,715,715,2023/05/31 17:30:41+00,OED,Downtown West,1313,Office,450 West Santa Clara St,Planning Approved,2023/05/31 22:29:38+00,,17585.3775146542,3129884.70011672,25938132,"PDC19-039, PD19-029,","Planning Development Zoning for approximately 6.5 million sf of office, approximately 3,000-5,000 housing units, approximately 300,000 to 500,000 sf of active uses, approximately 100,000 sf of event space, up to 300 hotel rooms and up to 800 rooms of limited-term corporate housing.",,,Google,,924,Other,
716,716,716,2023/05/31 17:30:41+00,OED,San Carlos Housing,1312,Mixed Use,1530 West San Carlos,Planning Approved,2023/05/31 17:30:41+00,,851.492691896359,27582.2670293091,27718019,SP20-004,"Construction of a seven-story building with 104 residential units and approximately 12,600sf commercial use",,,Urban Villas LLC,,923,Other,
717,717,717,2023/05/31 17:30:41+00,OED,Stockton Office Tower,1311,Office,250 Stockton,Planning Approved,2023/05/31 17:30:41+00,,1316.98392134662,100209.22666102,25928024,H21-052,"Construction of a 16-story, approximately 1.3M sf office building",,,Imwalle Properties,,922,Other,
718,718,718,2023/05/31 17:30:41+00,OED,North 1st St Hotel,921,Hotel,1770 N 1st Street,Planning Approved,2023/05/31 22:41:52+00,,1519.97674956858,134255.96182514,23501030,PDA13-049-03,Construction of a 171 room hotel,,,Bumb & Associates,,919,Other,
719,719,719,2023/05/31 17:30:41+00,OED,Coleman Highline Building 5,918,Office,1185 Coleman,Planning Review,2023/05/31 17:30:41+00,,2399.27043426903,356360.714315372,23061002,PD22-004,"Construction of a 5-story, 288,420 sf office building",,,Hunter Properties,,916,Other,
720,720,720,2023/05/31 17:30:41+00,OED,East Santa Clara Street Project,919,Affordable Housing,675 East Santa Clara Street,Planning Approved,2023/05/31 23:02:59+00,,1783.292201716,178731.281135286,46714087,MP21-001,"SB35 Ministerial Permit for construction of a 559-unit 100% affordable mixed-use housing project consisting of two 8-story multifamily residential buildings, two 7-story residential buildings, and one 5-story residential building with 6,080 square feet of commercial space,on a 4.19 gross-acre site.",,,Santa Clara Housing Authority,,917,Other,
721,721,721,2023/05/31 17:30:41+00,OED,Santana Row Rezoning,916,Mixed Use,301 Santana Row,Planning Review,2023/05/31 21:42:32+00,,3072.2866441102,492892.77787709,27733017,PDC22-004,"Planned Development Rezoning to modify the development standards to allow up to approximately 2,760,038 square feet of commercial square footage, allow late night use, closure of vehicular access on Santana Row between Olin and Olsen Avenues, and a common alcohol consumption zone on an approximately 42.53-acre site.",,,Federal Realty Investment Trust,,914,Other,
722,722,722,2023/05/31 17:30:41+00,OED,Trimble Advanced Manufacturing,917,Office,370 W Trimble Road,Planning Review,2023/05/31 17:30:41+00,,4309.59874608298,921114.565853795,10102020,PDC22-009 & PD22-028,"Site Development Permit to allow the construction of an approximately 208,000-square foot manufacturing/assembly building",,,LBA Realty,,915,Other,
723,723,723,2023/05/31 17:30:41+00,OED,Summerhill Baypointe,915,Housing,"210 Baypointe Pkwy, San Jose, CA, 95134",Planning Review,2023/05/31 17:30:41+00,,1975.76503399249,186184.093568497,09707046,H22-037,"Site Development Permit to allow demolition of existing 67,045 square foot commercial building and construction of 292-unit apartment building and 42 townhome condominiums on approximately 4.3-gross acre site",,,Summerhill,,913,Other,
724,724,724,2023/05/31 17:30:41+00,OED,Bloom,923,Office,5 Great Oaks Boulevard,Under Construction,2023/05/31 17:30:41+00,,3568.24057961304,473334.598558714,70654014,PDA15-031-01,"Planned Development Permit Amendment to allow the construction of of a 5-story, 92,350 -square foot bloom fuel cell structure to the east of the SV11 data center building approved under PD15-031.",,,Bloom Energy,,921,Other,
725,725,725,2023/05/31 17:30:41+00,OED,Diridon Plaza Transit-Oriented Development,914,Office,33 S Montgomery Street,Planning Review,2023/05/31 22:20:20+00,,3012.26096203948,507143.140226467,26134012,H22-031,Site Development Permit to allow 1.2 M square feet of commercial development on an approximately 3.09-gross acre site,,,Peninsula Joint Powers Board,,912,Other,
726,726,726,2023/05/31 17:30:41+00,OED,UC Madera,1711,Housing,486 West San Carlos,Planning Approved,2023/05/31 17:30:41+00,,436.870849890511,10158.7295862758,26420079,SPA20-019-01,Special Use Permit Amendment to increase the unit count from 184 units to 272 units from a previously approved Special Use Permit (File No. SP20-019) without any changes to the approved building envelope or building height,,,UC Madera,,926,Other,
727,727,727,2023/05/31 17:30:41+00,OED,Granite Rock,920,Commercial,120 Granite Rock Way,Planning Approved,2023/05/31 17:30:41+00,,5322.91006129482,888333.945918121,46217024,"PDC20-023; PD20-013","Planning Development Permit to allow the expansion of an existing concrete and asphalt recycling, manufacturing and distribution facility.",,,Granite Rock,,918,Other,
728,728,728,2023/05/31 17:30:41+00,OED,Volar,1314,Mixed Use,350 South Winchester,Planning Approved,2023/05/31 17:30:41+00,,800.401026709354,39354.9746372414,27733003,"PDC15-065, PD15-059","Construction of up to 307 units and 52,167 sf commercial and office uses",,,Winchester Plaza LLC,,925,Other,
729,729,729,2023/05/31 17:30:41+00,OED,Fountain Alley/Lido Building,922,Office,26 South 1st St,Pre-Construction Review,2023/05/31 17:30:41+00,,488.424191363976,12768.6332088364,46722162,H19-041 & T19-035,"Site Development Permit to allow demolition of Lido Nighclub and construct a six story, 84,404 sf office building",,,UC Fountain Alley Owner,,920,Other,
730,730,730,2023/05/31 18:14:56+00,OED,Japantown Mixed Use 6th St,65,Mixed Use,0 North 6th St,Under Construction,2023/06/01 16:38:31+00,,1290.91069571443,70803.8409007494,"1000020011, 1000020009, 41942",PD15-055,"Planned Development Permit to allow the construction of 520 residential units and 19,191 sf commercial space on a 5.25 acre lot",,,Related California Urban Residences,1645409,17,,
731,731,731,2023/05/31 18:20:37+00,OED,Santana West Phase 2 North,12,Office,"3161,3162 and 3164 Olsen Dr., 449 S. Winchester Blvd",Under Construction,2023/06/01 16:38:31+00,,2097.54401613441,219359.544828392,"1000012742, 1000024324,1000024323, 1000024322",PD18-045,"1 million sf office and retail  including ministorage, outdoor theater, and tv/radio station uses on 12.99 gross acres.",,,Federal Realty,1787363,89,Stefanie Farmer (Stefanie.Farmer@sanjoseca.gov),
732,732,732,2023/05/31 18:24:07+00,OED,90 East Brokaw,79,Office,90 East Brokaw,Planning Approved,2023/05/31 21:27:58+00,,1860.72436149621,184565.952492683,347745,HA13-040-03,"Construction of 1,297,000 sf of office space in five buildings",Laura Meiners,Laura.Meiners@sanjoseca.gov,Perry-Arrillaga,1863525,26,Other,
1130,733,733,2023/05/31 21:07:16+00,OED,Almaden Corner Hotel,19,Hotel,8 North Almaden,Pre-Construction Review,2023/05/31 21:07:16+00,,357.626809983734,8073.16877372475,1000004451,H18-038,Site Development Permit to allow the construction of a 19-story hotel with 272 guest rooms,,,KT Urban,1799253,84,Patrick Kelly (Patrick.Kelly@sanjoseca.gov),293
1131,734,734,2023/05/31 21:07:16+00,OED,27 West,26,Housing,27 South 1st Street,Pre-Construction Review,2023/05/31 21:07:16+00,,749.911091580302,23614.2636638682,44799,SP18-016,"Construction of a 22-story mixed use building with 374 units and 35,712 sf retail space",,,"Black Sea Gallery Dev LLC, Alterra Worldwide",1758498,85,Patrick Kelly (Patrick.Kelly@sanjoseca.gov),239
1132,735,735,2023/05/31 21:07:16+00,OED,Santana West Phase 2 South,78,Office,3161 Olsen Drive,Under Construction,2023/05/31 23:19:45+00,,1993.59270179486,160233.781459924,1000012742,PDA18-045-01,"Construction of 376,250 square feet of commercial space",Alec Atienza,alec.atienza@sanjoseca.gov,Federal Realty,1861098,89,Other,
